organization,type,years,website,twitter,linkedin,ad_placement,website_listing,named_event,venue_sponsor,transport_sponsor,notes
Brooksource,Sponsor,2026,https://brooksource.com,,brooksource,unknown,likely,no,no,no,2026 sponsor
Shakopee Mdewakanton Sioux Community,Sponsor,2026,https://shakopeedakota.org,,,unknown,likely,no,no,no,2026 sponsor — tribal nation
Idea Fund,Sponsor,2026,,,,unknown,likely,no,no,no,2026 sponsor
Biometrica Health,Sponsor,2026,,,,unknown,likely,no,no,no,2026 sponsor
ezer21,Sponsor,2026,,,,unknown,likely,no,no,no,2026 sponsor
Full Stack Saint Paul Scale Up,Sponsor,2026,,,,unknown,likely,no,no,no,2026 sponsor
WeWork,Venue/Sponsor,2023,https://wework.com,wework,wework,unknown,likely,no,yes,no,NorthLoop location 2023
Lab651,Venue/Sponsor,2023,https://lab651.com,,lab651,unknown,likely,no,yes,no,AI + software session host
Augurian,Venue/Sponsor,2023,https://augurian.com,augurian,augurian,unknown,likely,no,yes,no,Co-branded Cloudburst SBC venue 2023
West Monroe,Venue/Sponsor,2023,https://westmonroe.com,westmonroecorp,west-monroe-partners,unknown,likely,no,yes,no,AI Day session host 2023
Stratasys,Venue/Sponsor,2023,https://stratasys.com,stratasys,stratasys,unknown,likely,no,yes,no,3D Printing session host 2023
Fredrikson & Byron,Venue/Sponsor,2023,https://fredlaw.com,,fredrikson-byron,unknown,likely,no,yes,no,Finance session host 2023
EmpowerHER,Community Partner,2025,,,,unknown,likely,no,no,no,Women founders program 2025
ConnectUP! Institute,Community Partner,2023,,,,unknown,likely,no,no,no,Saint Paul location 2023
ACER Inc,Community Partner,2023,,,,unknown,likely,no,no,no,Cultural communities session 2023
Fearless Commerce,Community Partner,2023,,,,unknown,likely,no,no,no,The Watering event presenter 2023
First Independence Bank,Community Partner,2023,https://firstindependencebank.com,,,unknown,likely,no,no,no,Business credit session host
BauHaus Brew Labs,Venue,2023,https://bauhausbrewlabs.com,bauhausbrewlabs,,unknown,likely,no,yes,no,Medical Device Networking happy hour
Sociable Ciderworks,Venue,2023,https://sociablecider.com,sociablecider,,unknown,likely,no,yes,no,OnlyFounders Bags Tournament venue
Acme Comedy Company,Venue,2023,https://acmecomedycompany.com,acmecomedy,,unknown,likely,no,yes,no,VC Day happy hour venue
Riverview Theater,Venue,2023,https://riverviewtheater.com,,,unknown,likely,no,yes,no,Minnedemo39 venue
Target Field / MN Twins,Venue,2023,https://mlb.com/twins,twins,,unknown,likely,no,yes,no,BETA Fall Showcase 2023
McNamara Alumni Center,Venue,2023,https://mcnamaraalumnicenter.com,,,unknown,likely,yes,yes,no,MN Cup Grand Finale 2023
Woulfe Alumni Hall / U of St Thomas,Venue,2023,https://stthomas.edu,stthomas,,unknown,likely,no,yes,no,gBETA showcase venue 2023
IDS Tower / Fulcrum,Venue,2023,,,,unknown,likely,no,yes,no,Fulcrum HQ 46th floor networking event
Northrop / U of Minnesota,Venue,2023,https://northrop.umn.edu,,,unknown,likely,no,yes,no,Infrastructure + future sessions 2023
Hewing Hotel,Venue,2023,https://hewinghotel.com,hewinghotel,,unknown,likely,no,yes,no,AR session venue 2023
