Year,Organization,Tier/Role,Category,Contact Person/Title,Notes,Source
2023,TriNet,Presenting Sponsor - VC Fireside,HR Tech for Startups,,VC Fireside Chat host,tcsw2023.sched.com
2023,Twin Ignition,Presenting Sponsor - Opening Party,Startup Support Org,,Keg House + Startup Garage,tcsw2023.sched.com
2023,Workbox,Venue Sponsor,Coworking,,Multiple sessions hosted,tcsw2023.sched.com
2023,Augurian & Cloudburst SBC,Venue Sponsor,Marketing/Coworking,,Multiple sessions hosted,tcsw2023.sched.com
2023,FINNOVATION Lab,Venue Sponsor,Fintech Innovation,,Multiple sessions hosted,tcsw2023.sched.com
2023,Lab651 HQ,Venue Sponsor,Tech Innovation,,Multiple sessions hosted,tcsw2023.sched.com
2023,Luminary Arts Center,Venue Partner,Arts/Event Space,,Main stage venue,tcsw2023.sched.com
2023,BŪCH Fermentary & Taproom,Venue Partner,F&B/Event Space,,Session venue,tcsw2023.sched.com
2023,Northrop / Lindahl Founders Room,Venue Partner,University of MN,,Infrastructure sessions,tcsw2023.sched.com
2019,Target,Title Sponsor,Retail/Corporate,Gene Han - VP New Ventures & Accelerators,Hosted Kickoff + Retail Track at Target Plaza Commons,medium.com/twin-cities-startup-week
2019,Cargill,Title Sponsor,Agriculture/Corporate,Lawrence Wang - Digitalization & Analytics Strategy Lead,Co-sponsor Techstars Farm to Fork; Demo Day Oct 15,medium.com/twin-cities-startup-week
2019,3M,Title Sponsor,Manufacturing/Corporate,Ben Wright - Director of 3M Ventures,Participated in BETA Backers program,medium.com/twin-cities-startup-week
2019,Microsoft,Corporate Sponsor,Technology,,Confirmed in TCB article,tcbmag.com
2019,AWS (Amazon Web Services),Corporate Sponsor,Technology/Cloud,,Confirmed in TCB article,tcbmag.com
2019,Ecolab,Event Co-Sponsor,Industrial/Environmental,,Farm to Fork co-sponsor with Cargill,tcbmag.com
2019,GreaterMSP,Presenting Partner,Economic Development,,Promoted event,greatermsp.org
2019,Make It. MSP,Fly-In Program Sponsor,Economic Development,,Non-MN job seekers flown in,tcbmag.com
2019,Branch Messenger,Fly-In Program Sponsor,Tech Startup,,Non-MN job seekers flown in,tcbmag.com
2019,Techstars,Event Partner,Accelerator,,Farm to Fork Demo Day,tcbmag.com
2018,Make It. MSP,Fly-In Program Sponsor,Economic Development,,Non-MN job seekers,tcbmag.com
2018,Branch Messenger,Fly-In Program Sponsor,Tech Startup,,Non-MN job seekers,tcbmag.com
2018,Mayo Clinic,MANOVA Summit Sponsor,Healthcare,,Backed health innovation summit,tcbmag.com
2018,Walmart,MANOVA Summit Sponsor,Retail/Corporate,,Backed health innovation summit,tcbmag.com
2017,Allianz Life,Major Sponsor - Innovation Day,Insurance/Finance,,Allianz Life Ventures Innovation Day 2017,twincitiesstartupweek2017.sched.com
2017,Fredrikson & Byron P.A.,Legal Sponsor,Law Firm,,Angel Investing 101 + Financing a Startup,twincitiesstartupweek2017.sched.com
2017,Avisen Legal P.A.,Legal Sponsor,Law Firm,,Open Office Hours legal counsel,twincitiesstartupweek2017.sched.com
2017,Allianz Life,Corporate Event Host,Insurance,,Innovation Day at Allianz HQ,twincitiesstartupweek2017.sched.com
2017,CoCo,Venue Partner - Co-Working,Coworking,,Downtown + St. Paul locations,twincitiesstartupweek2017.sched.com
2017,Industrious,Venue Partner - Co-Working,Coworking,,Free co-working during week,twincitiesstartupweek2017.sched.com
2017,WeWork,Venue Partner - Co-Working,Coworking,,Free co-working during week,twincitiesstartupweek2017.sched.com
2017,Impact Hub MSP,Venue Partner,Social Enterprise Coworking,,Multiple social enterprise sessions,twincitiesstartupweek2017.sched.com
2017,Bauhaus Brewery,Venue Partner,F&B,,Drone racing event,twincitiesstartupweek2017.sched.com
2017,Worrell,Venue Partner,Design/Healthcare,,Healthcare fireside chat,twincitiesstartupweek2017.sched.com
2017,Mall of America,Venue Partner,Retail,,Night at the Mall event,twincitiesstartupweek2017.sched.com
